,,,,,,,,,,,,,,,,,,,,,,,,,,,Productive,New,yes,,,,,,Own,LCC,,realized LCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,1.047,1.070,1.070,1.070,1.070,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,non productive,Used,no,,,,,,Leasing,??,,??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNY,7.490,7.425,7.425,7.425,7.425,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal refurbishment,,,,,,,Borrowings,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRL,6.291,7.072,7.072,7.072,7.072,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inter-group transfer,,,,,,,Customer,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARS,1259.445,1523.149,1523.149,1523.149,1523.149,,,,,,,,,,,,,,,,,,
A,B,,C,D,E,P,J,N,O,,Q,,,,,,,,,,,S,T,U,V,W,,,,,,,,,Other,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,GH,BI,"BJ
","BK
","BL
","BM
","BJ
","BO
","BP
","BQ
","BR
","BS
",,DK,DL,DM,DN,DO,DQ,DR,DS,DT,DU,DV,,,DY,,,,,,,,,,,,,,,,,,,,ER,,,,,,,
Motherson Business Plan 2025/26 - 2029/30 /  Investmentplanning,,,,,,,BP-Invest Template (Status: 2024 Dec 17th),,,ungroup to view    + linked categories -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.000,,,,,,,,"1,970,853",exchange rates/ translation into selected currency,"+
--> ",,,,,,,,,,,"834,045",BMS UPLOAD FORM,"+
--> ",Delete Line bevore forwarding,,,,th EUR,th EUR,th EUR,th EUR,th EUR,th EUR,th EUR,th EUR,th EUR,th EUR,th EUR,th EUR,Total,th EUR,th EUR,th EUR,th EUR,,,,Total,Diff,,
NEUES Template vom 17.Dec.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,781",,"1,387",#VALUE!,,0,0,"48,796.0","62,421.1","58,759.0","63,930.4","47,187.5","83,160.4","57,719.7","36,996.4","71,140.4","28,298.9","26,402.9","39,895.5","169,976","194,278","165,856","94,597","624,708","21,636.8","12,597.1","9,402.7","10,317.8","13,452.6","25,233.5","30,819.7","4,558.1","5,300.6","53,928.6","4,573.5","359,490.0","62,600","59,322","52,170","423,706","622,384","261,504","233,485","228,772","1,970,853",,,,,,,,"229,777","222,164","128,318","130,299","123,487","834,045",,,Delete Line bevore forwarding,,,,"22,252","18,698","20,868","18,896","20,653","36,735","19,595","15,143","13,861","15,898","11,034","14,572","228,206","221,669","55,489","35,530","31,810",,,,"569,747",#REF!,,
don't change in MPP,,,       ->  fill in values in thousand / local currency,,,,  !! Fill in/ select ALL mandatory categories !!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional monthly   or   Total in March 2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delete Line bevore forwarding,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,Comparison currency to view consol budget at Company level or compare in different currency,,       ->  Do not add or delete collumns !!,,,,,,,,,vision/eol,Refurbishment,Assembly line,Autmation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Capex as per booking invoice  -  in local currency ""per thousand"" -  with respect to the Budget Brochure",,,,,,,,,,,,,,,,,"Capex as per booking invoice  -  in local currency ""per thousand"" -  with respect to the Budget Brochure",,,,,,,,,,,,,,,,"local currency ""per thousand""",,,,,,,exchange translation into thousand EUR,,,,,,,,,,,,,Delete Line bevore forwarding,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCC,,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delete Line bevore forwarding,,,,,,,,,,,,,,,,,,,,,,,,,,,
